Leitura e criação da taneça 16.77 milissegundos

(PD)Total value in the rucksack: 58305
Items in the rucksack:
Weight: 89 Value: 931
Weight: 24 Value: 244
Weight: 32 Value: 367
Weight: 92 Value: 840
Weight: 15 Value: 288
Weight: 20 Value: 506
Weight: 14 Value: 272
Weight: 66 Value: 477
Weight: 36 Value: 575
Weight: 23 Value: 189
Weight: 32 Value: 441
Weight: 8 Value: 77
Weight: 17 Value: 668
Weight: 10 Value: 724
Weight: 57 Value: 897
Weight: 35 Value: 379
Weight: 61 Value: 757
Weight: 10 Value: 611
Weight: 49 Value: 973
Weight: 22 Value: 902
Weight: 8 Value: 139
Weight: 94 Value: 877
Weight: 51 Value: 622
Weight: 13 Value: 270
Weight: 36 Value: 610
Weight: 52 Value: 569
Weight: 33 Value: 287
Weight: 16 Value: 668
Weight: 54 Value: 803
Weight: 22 Value: 478
Weight: 1 Value: 964
Weight: 18 Value: 805
Weight: 44 Value: 816
Weight: 95 Value: 772
Weight: 21 Value: 178
Weight: 51 Value: 761
Weight: 114 Value: 779
Weight: 47 Value: 559
Weight: 89 Value: 546
Weight: 122 Value: 972
Weight: 112 Value: 803
Weight: 82 Value: 490
Weight: 64 Value: 780
Weight: 66 Value: 508
Weight: 129 Value: 868
Weight: 42 Value: 908
Weight: 136 Value: 902
Weight: 41 Value: 818
Weight: 3 Value: 962
Weight: 146 Value: 852
Weight: 45 Value: 814
Weight: 49 Value: 952
Weight: 129 Value: 963
Weight: 14 Value: 521
Weight: 20 Value: 665
Weight: 7 Value: 759
Weight: 113 Value: 910
Weight: 30 Value: 480
Weight: 35 Value: 718
Weight: 103 Value: 776
Weight: 9 Value: 916
Weight: 61 Value: 487
Weight: 19 Value: 965
Weight: 95 Value: 764
Weight: 108 Value: 997
Weight: 123 Value: 970
Weight: 138 Value: 787
Weight: 80 Value: 706
Weight: 121 Value: 700
Weight: 163 Value: 987
Weight: 93 Value: 793
Weight: 60 Value: 327
Weight: 5 Value: 77
Weight: 25 Value: 635
Weight: 52 Value: 899
Weight: 149 Value: 932
Weight: 86 Value: 711
Weight: 9 Value: 140
Weight: 31 Value: 638
Weight: 20 Value: 311
Weight: 3 Value: 208
Weight: 48 Value: 308
Weight: 63 Value: 748
Weight: 97 Value: 826
Weight: 17 Value: 187
Weight: 90 Value: 663
Weight: 24 Value: 286
Weight: 65 Value: 585
Weight: 81 Value: 972
Weight: 7 Value: 738
Tempo PD: 312.30 milissegundos

